town_id,raw_id,sta,lat,lon
0,JR00,東京,35.681382,139.766084
1,JR01,有楽町,35.675069,139.763328
2,JR02,新橋,35.665498,139.75964
3,JR03,浜松町,35.655646,139.756749
4,JR04,田町,35.645736,139.747575
5,JR05,品川,35.630152,139.74044
6,JR06,大崎,35.6197,139.728553
7,JR07,五反田,35.626446,139.723444
8,JR08,目黒,35.633998,139.715828
9,JR09,恵比寿,35.64669,139.710106
10,JR10,渋谷,35.658517,139.701334
11,JR11,原宿,35.670168,139.702687
12,JR12,代々木,35.683061,139.702042
13,JR13,新宿,35.690921,139.700258
14,JR14,新大久保,35.701306,139.700044
15,JR15,高田馬場,35.712285,139.703782
16,JR16,目白,35.721204,139.706587
17,JR17,池袋,35.728926,139.71038
18,JR18,大塚,35.731401,139.728662
19,JR19,巣鴨,35.733492,139.739345
20,JR20,駒込,35.736489,139.746875
21,JR21,田端,35.738062,139.76086
22,JR22,西日暮里,35.732135,139.766787
23,JR23,日暮里,35.727772,139.770987
24,JR24,鶯谷,35.720495,139.778837
25,JR25,上野,35.713768,139.777254
26,JR26,御徒町,35.707438,139.774632
27,JR27,秋葉原,35.698683,139.774219
28,JR28,神田,35.69169,139.770883
29,Y01,和光市駅,35.78855,139.612337
30,Y02,地下鉄成増駅,35.77653,139.63151
31,Y03,地下鉄赤塚駅,35.769939,139.644025
32,Y04,平和台駅,35.75786,139.653764
33,Y05,氷川台駅,35.749545,139.665571
34,Y06,小竹向原駅,35.743806,139.67858
35,Y07,千川駅,35.738229,139.689274
36,Y08,要町駅,35.73323,139.698718
37,Y10,東池袋駅,35.725729,139.719537
38,Y11,護国寺駅,35.719046,139.727541
39,Y12,江戸川橋駅,35.709503,139.733541
40,Y13,飯田橋駅,35.70206,139.745005
41,Y14,市ヶ谷駅,35.691043,139.735601
42,Y15,麹町駅,35.684002,139.737615
43,Y16,永田町駅,35.678764,139.740257
44,Y17,桜田門駅,35.677403,139.751493
45,Y19,銀座一丁目駅,35.674346,139.767047
46,Y20,新富町駅,35.670458,139.773715
47,Y21,月島駅,35.664869,139.784232
48,Y22,豊洲駅,35.654908,139.796219
49,Y23,辰巳駅,35.645584,139.810526
